composition,task_order,round,sent_mean,return_proportion_mean,zero_receipt_rate
1 GPT + 7 Sonnet,game_myth,1,2.575,0.3224183006535948,0.15
1 GPT + 7 Sonnet,game_myth,2,2.5375,0.40260606060606063,0.05
1 GPT + 7 Sonnet,game_myth,3,3.0625,0.41547222222222224,0.0
1 GPT + 7 Sonnet,game_myth,4,3.3,0.40066507936507934,0.0
1 GPT + 7 Sonnet,game_myth,5,3.1,0.4146319444444445,0.0
1 GPT + 7 Sonnet,game_myth,6,3.3875,0.44981483516483517,0.0
1 GPT + 7 Sonnet,game_myth,7,3.45,0.4240059523809524,0.0
1 GPT + 7 Sonnet,game_myth,8,3.15,0.4170861111111111,0.0
1 GPT + 7 Sonnet,game_myth,9,3.3,0.44061150793650794,0.0
1 GPT + 7 Sonnet,game_myth,10,3.325,0.4180744708994709,0.0
2 GPT + 6 Sonnet,game_myth,1,2.25,0.2940740740740741,0.25
2 GPT + 6 Sonnet,game_myth,2,2.8,0.37318055555555557,0.0
2 GPT + 6 Sonnet,game_myth,3,3.025,0.3927480158730159,0.0
2 GPT + 6 Sonnet,game_myth,4,3.29,0.41164494569757726,0.05
2 GPT + 6 Sonnet,game_myth,5,2.95,0.4025898078529658,0.05
2 GPT + 6 Sonnet,game_myth,6,3.375,0.4540126984126984,0.0
2 GPT + 6 Sonnet,game_myth,7,3.45,0.4266011904761905,0.0
2 GPT + 6 Sonnet,game_myth,8,3.575,0.44069166666666665,0.0
2 GPT + 6 Sonnet,game_myth,9,3.35,0.4447174603174603,0.0
2 GPT + 6 Sonnet,game_myth,10,3.575,0.43729444444444443,0.0
4 GPT + 4 Sonnet,game_myth,1,1.65,0.1313131313131313,0.45
4 GPT + 4 Sonnet,game_myth,2,2.075,0.3528968253968254,0.3
4 GPT + 4 Sonnet,game_myth,3,2.334,0.38042045328911,0.25
4 GPT + 4 Sonnet,game_myth,4,2.75,0.3670359477124183,0.15
4 GPT + 4 Sonnet,game_myth,5,2.975,0.4303769841269841,0.2
4 GPT + 4 Sonnet,game_myth,6,3.25,0.4246929824561403,0.05
4 GPT + 4 Sonnet,game_myth,7,3.825,0.4413842592592593,0.1
4 GPT + 4 Sonnet,game_myth,8,3.6,0.43187468671679197,0.05
4 GPT + 4 Sonnet,game_myth,9,3.85,0.47122766019988244,0.1
4 GPT + 4 Sonnet,game_myth,10,4.3,0.4449220899470899,0.0
1 Gemini + 7 GPT,myth_game,1,3.35,0.33040555555555556,0.0
1 Gemini + 7 GPT,myth_game,2,2.529,0.33391425495262705,0.25
1 Gemini + 7 GPT,myth_game,3,2.604,0.32148611111111114,0.2
1 Gemini + 7 GPT,myth_game,4,2.675,0.36377777777777776,0.35
1 Gemini + 7 GPT,myth_game,5,3.325,0.4151309523809524,0.3
1 Gemini + 7 GPT,myth_game,6,3.6,0.3972,0.25
1 Gemini + 7 GPT,myth_game,7,3.6,0.41150000000000003,0.25
1 Gemini + 7 GPT,myth_game,8,3.7,0.43176666666666663,0.25
1 Gemini + 7 GPT,myth_game,9,4.0,0.4354166666666667,0.2
1 Gemini + 7 GPT,myth_game,10,4.5,0.42946296296296294,0.1
2 Gemini + 6 GPT,myth_game,1,4.15,0.3603450292397661,0.05
2 Gemini + 6 GPT,myth_game,2,3.713,0.39168794014084507,0.2
2 Gemini + 6 GPT,myth_game,3,3.85,0.42374999999999996,0.2
2 Gemini + 6 GPT,myth_game,4,4.55,0.41491228070175434,0.05
2 Gemini + 6 GPT,myth_game,5,4.7,0.43221052631578943,0.05
2 Gemini + 6 GPT,myth_game,6,4.45,0.4517407407407408,0.1
2 Gemini + 6 GPT,myth_game,7,4.75,0.4419298245614035,0.05
2 Gemini + 6 GPT,myth_game,8,4.75,0.44571929824561407,0.05
2 Gemini + 6 GPT,myth_game,9,4.95,0.4561333333333334,0.0
2 Gemini + 6 GPT,myth_game,10,5.0,0.44094999999999995,0.0
4 Gemini + 4 GPT,myth_game,1,4.0,0.35938888888888887,0.0
4 Gemini + 4 GPT,myth_game,2,4.175,0.4516296296296296,0.1
4 Gemini + 4 GPT,myth_game,3,4.65,0.4278947368421053,0.05
4 Gemini + 4 GPT,myth_game,4,5.0,0.42105,0.0
4 Gemini + 4 GPT,myth_game,5,4.95,0.44337499999999996,0.0
4 Gemini + 4 GPT,myth_game,6,4.95,0.45966666666666667,0.0
4 Gemini + 4 GPT,myth_game,7,5.0,0.4427,0.0
4 Gemini + 4 GPT,myth_game,8,5.0,0.44783333333333336,0.0
4 Gemini + 4 GPT,myth_game,9,5.0,0.45941666666666664,0.0
4 Gemini + 4 GPT,myth_game,10,4.9525,0.44238395061728397,0.0
1 GPT + 7 Sonnet,myth_game,1,3.8,0.40178888888888886,0.0
1 GPT + 7 Sonnet,myth_game,2,3.7625,0.47083556644880176,0.0
1 GPT + 7 Sonnet,myth_game,3,3.975,0.4706990740740741,0.0
1 GPT + 7 Sonnet,myth_game,4,4.0,0.46129232804232806,0.0
1 GPT + 7 Sonnet,myth_game,5,3.9625,0.4662301587301587,0.0
1 GPT + 7 Sonnet,myth_game,6,4.15,0.5065790343915344,0.0
1 GPT + 7 Sonnet,myth_game,7,4.125,0.47602500000000003,0.0
1 GPT + 7 Sonnet,myth_game,8,4.1375,0.4906873560535325,0.0
1 GPT + 7 Sonnet,myth_game,9,4.05,0.5070481481481481,0.0
1 GPT + 7 Sonnet,myth_game,10,4.1375,0.48961658107687517,0.0
2 GPT + 6 Sonnet,myth_game,1,3.725,0.4161169590643275,0.05
2 GPT + 6 Sonnet,myth_game,2,3.875,0.470482208994709,0.0
2 GPT + 6 Sonnet,myth_game,3,4.2875,0.4651653439153439,0.0
2 GPT + 6 Sonnet,myth_game,4,4.5875,0.46791309523809527,0.0
2 GPT + 6 Sonnet,myth_game,5,4.45,0.46903148148148144,0.0
2 GPT + 6 Sonnet,myth_game,6,4.525,0.4946845238095238,0.0
2 GPT + 6 Sonnet,myth_game,7,4.525,0.48359933862433857,0.0
2 GPT + 6 Sonnet,myth_game,8,4.625,0.4862925925925926,0.0
2 GPT + 6 Sonnet,myth_game,9,4.4,0.49295912698412697,0.0
2 GPT + 6 Sonnet,myth_game,10,4.5,0.4899541666666667,0.0
4 GPT + 4 Sonnet,myth_game,1,3.9,0.3823722222222222,0.0
4 GPT + 4 Sonnet,myth_game,2,3.065,0.4272643849206349,0.2
4 GPT + 4 Sonnet,myth_game,3,3.725,0.4128734126984127,0.0
4 GPT + 4 Sonnet,myth_game,4,3.675,0.3917621832358675,0.05
4 GPT + 4 Sonnet,myth_game,5,3.8875,0.4017158496732026,0.0
4 GPT + 4 Sonnet,myth_game,6,4.074,0.4547607621790377,0.05
4 GPT + 4 Sonnet,myth_game,7,3.6875,0.4565383140184178,0.15
4 GPT + 4 Sonnet,myth_game,8,4.475,0.4363685185185185,0.0
4 GPT + 4 Sonnet,myth_game,9,4.0625,0.4648777572586437,0.05
4 GPT + 4 Sonnet,myth_game,10,3.9,0.4419398496240601,0.05
8 Sonnet,game,1,3.1,0.35930555555555554,0.0
8 Sonnet,game,2,2.9,0.3959285714285714,0.0
8 Sonnet,game,3,3.0125,0.39106872294372297,0.0
8 Sonnet,game,4,2.9875,0.37933044733044735,0.0
8 Sonnet,game,5,3.0,0.392484126984127,0.0
8 Sonnet,game,6,3.05,0.4191349206349206,0.0
8 Sonnet,game,7,3.025,0.3928174603174603,0.0
8 Sonnet,game,8,3.05,0.40011111111111114,0.0
8 Sonnet,game,9,3.025,0.41747619047619045,0.0
8 Sonnet,game,10,3.025,0.39448412698412694,0.0
8 Gemini,game,1,5.0,0.43546666666666667,0.0
8 Gemini,game,2,5.0,0.4550666666666666,0.0
8 Gemini,game,3,5.0,0.4473166666666667,0.0
8 Gemini,game,4,5.0,0.44020000000000004,0.0
8 Gemini,game,5,5.0,0.4458333333333333,0.0
8 Gemini,game,6,5.0,0.4634333333333333,0.0
8 Gemini,game,7,5.0,0.44358333333333333,0.0
8 Gemini,game,8,5.0,0.44786666666666664,0.0
8 Gemini,game,9,5.0,0.45933333333333337,0.0
8 Gemini,game,10,5.0,0.44315,0.0
8 GPT,game,1,0.0,,1.0
8 GPT,game,2,0.0,,1.0
8 GPT,game,3,0.0,,1.0
8 GPT,game,4,0.0,,1.0
8 GPT,game,5,0.0,,1.0
8 GPT,game,6,0.0,,1.0
8 GPT,game,7,0.0,,1.0
8 GPT,game,8,0.0,,1.0
8 GPT,game,9,0.0,,1.0
8 GPT,game,10,0.0,,1.0
8 Sonnet,game_myth,1,3.0,0.3774444444444444,0.0
8 Sonnet,game_myth,2,2.7875,0.4219747474747475,0.0
8 Sonnet,game_myth,3,2.875,0.41100000000000003,0.0
8 Sonnet,game_myth,4,2.95,0.39523888888888886,0.0
8 Sonnet,game_myth,5,2.95,0.4002539682539682,0.0
8 Sonnet,game_myth,6,2.875,0.43173015873015874,0.0
8 Sonnet,game_myth,7,2.925,0.40226666666666666,0.0
8 Sonnet,game_myth,8,2.9,0.40722380952380954,0.0
8 Sonnet,game_myth,9,2.875,0.42366666666666664,0.0
8 Sonnet,game_myth,10,2.975,0.4051277777777778,0.0
8 Gemini,game_myth,1,5.0,0.4333333333333333,0.0
8 Gemini,game_myth,2,5.0,0.4552666666666666,0.0
8 Gemini,game_myth,3,5.0,0.449,0.0
8 Gemini,game_myth,4,5.0,0.44028333333333336,0.0
8 Gemini,game_myth,5,5.0,0.4460166666666667,0.0
8 Gemini,game_myth,6,5.0,0.46371666666666667,0.0
8 Gemini,game_myth,7,5.0,0.4436,0.0
8 Gemini,game_myth,8,5.0,0.4479,0.0
8 Gemini,game_myth,9,5.0,0.45938333333333337,0.0
8 Gemini,game_myth,10,5.0,0.44315,0.0
8 GPT,game_myth,1,0.0,,1.0
8 GPT,game_myth,2,1.3,0.2412301587301587,0.3
8 GPT,game_myth,3,1.525,0.28756666666666664,0.5
8 GPT,game_myth,4,1.55,0.31971717171717173,0.45
8 GPT,game_myth,5,1.35,0.28932098765432096,0.55
8 GPT,game_myth,6,1.4645,0.3046324255773595,0.6
8 GPT,game_myth,7,1.75,0.2980493827160494,0.55
8 GPT,game_myth,8,1.0875,0.383027417027417,0.65
8 GPT,game_myth,9,1.45,0.3300416666666667,0.6
8 GPT,game_myth,10,1.5,0.3061111111111111,0.7
8 Sonnet,myth_game,1,4.15,0.4450611111111111,0.0
8 Sonnet,myth_game,2,3.94,0.4972125661375661,0.0
8 Sonnet,myth_game,3,4.3475,0.5073404755979783,0.0
8 Sonnet,myth_game,4,4.34,0.492003835978836,0.0
8 Sonnet,myth_game,5,4.365,0.5093875661375662,0.0
8 Sonnet,myth_game,6,4.475,0.5157238095238095,0.0
8 Sonnet,myth_game,7,4.5024999999999995,0.521781045751634,0.0
8 Sonnet,myth_game,8,4.55,0.5117416666666667,0.0
8 Sonnet,myth_game,9,4.525,0.5147569444444444,0.0
8 Sonnet,myth_game,10,4.54,0.5237944444444445,0.0
8 Gemini,myth_game,1,5.0,0.4381333333333333,0.0
8 Gemini,myth_game,2,5.0,0.4573666666666667,0.0
8 Gemini,myth_game,3,5.0,0.4506,0.0
8 Gemini,myth_game,4,5.0,0.44025,0.0
8 Gemini,myth_game,5,5.0,0.4473166666666667,0.0
8 Gemini,myth_game,6,5.0,0.46338333333333337,0.0
8 Gemini,myth_game,7,5.0,0.44558333333333333,0.0
8 Gemini,myth_game,8,5.0,0.4479,0.0
8 Gemini,myth_game,9,5.0,0.45935,0.0
8 Gemini,myth_game,10,5.0,0.44315,0.0
8 GPT,myth_game,1,2.8,0.2853625730994152,0.05
8 GPT,myth_game,2,1.8379999999999999,0.3228049819731236,0.25
8 GPT,myth_game,3,2.325,0.3088692810457516,0.15
8 GPT,myth_game,4,1.9934999999999998,0.33164537359659313,0.3
8 GPT,myth_game,5,2.3,0.29665811965811967,0.35
8 GPT,myth_game,6,1.8,0.30792929292929294,0.45
8 GPT,myth_game,7,2.05,0.3306919191919192,0.45
8 GPT,myth_game,8,1.5,0.28623809523809524,0.65
8 GPT,myth_game,9,2.4,0.3377222222222222,0.5
8 GPT,myth_game,10,1.0,0.3565,0.8
