arm,fam,src,n,order,rep,round,investor,trustee,sent,sent_comm,received,received_comm,returned,returned_comm,ret_ratio,ret_ratio_seen,loss_seen,investor_payoff_comm
Gemini 3.1 Pro,gemini,frontier,2,game_myth,1,7,Agent_1,Agent_2,5.0,4.1,15.0,12.299999999999999,5.7,4.79,0.38,0.31933333333333336,True,4.79
Gemini 3.1 Pro,gemini,frontier,2,game_myth,1,8,Agent_2,Agent_1,5.0,4.68,15.0,14.04,6.86,6.17,0.45733333333333337,0.41133333333333333,False,6.17
Gemini 3.1 Pro,gemini,frontier,2,game_myth,1,9,Agent_1,Agent_2,5.0,4.59,15.0,13.77,6.68,6.02,0.4453333333333333,0.4013333333333333,False,6.02
Gemini 3.1 Pro,gemini,frontier,2,game_myth,1,10,Agent_2,Agent_1,5.0,4.06,15.0,12.18,5.62,5.56,0.37466666666666665,0.37066666666666664,False,5.56
Gemini 3.1 Pro,gemini,frontier,2,game_myth,2,1,Agent_1,Agent_2,3.0,2.88,9.0,8.64,4.32,3.55,0.48000000000000004,0.39444444444444443,False,5.55
Gemini 3.1 Pro,gemini,frontier,2,game_myth,2,2,Agent_2,Agent_1,5.0,4.68,15.0,14.04,7.02,7.02,0.46799999999999997,0.46799999999999997,False,7.02
Gemini 3.1 Pro,gemini,frontier,2,game_myth,2,3,Agent_1,Agent_2,5.0,4.15,15.0,12.450000000000001,6.23,6.11,0.4153333333333334,0.4073333333333334,False,6.11
Gemini 3.1 Pro,gemini,frontier,2,game_myth,2,4,Agent_2,Agent_1,5.0,4.04,15.0,12.120000000000001,6.06,6.02,0.40399999999999997,0.4013333333333333,False,6.02
Gemini 3.1 Pro,gemini,frontier,2,game_myth,2,5,Agent_1,Agent_2,5.0,4.12,15.0,12.36,6.18,6.08,0.412,0.4053333333333333,False,6.08
Gemini 3.1 Pro,gemini,frontier,2,game_myth,2,6,Agent_2,Agent_1,5.0,4.17,15.0,12.51,6.255,5.45,0.417,0.36333333333333334,False,5.45
Gemini 3.1 Pro,gemini,frontier,2,game_myth,2,7,Agent_1,Agent_2,5.0,4.49,15.0,13.47,6.74,5.77,0.44933333333333336,0.38466666666666666,False,5.77
Gemini 3.1 Pro,gemini,frontier,2,game_myth,2,8,Agent_2,Agent_1,5.0,4.49,15.0,13.47,6.735,6.05,0.449,0.4033333333333333,False,6.05
Gemini 3.1 Pro,gemini,frontier,2,game_myth,2,9,Agent_1,Agent_2,5.0,4.37,15.0,13.11,6.56,6.38,0.4373333333333333,0.42533333333333334,False,6.38
Gemini 3.1 Pro,gemini,frontier,2,game_myth,2,10,Agent_2,Agent_1,5.0,4.42,15.0,13.26,6.63,6.11,0.442,0.4073333333333334,False,6.11
Gemini 3.1 Pro,gemini,frontier,2,game_myth,3,1,Agent_1,Agent_2,5.0,4.01,15.0,12.03,6.02,5.89,0.4013333333333333,0.39266666666666666,False,5.89
Gemini 3.1 Pro,gemini,frontier,2,game_myth,3,2,Agent_2,Agent_1,4.0,3.68,12.0,11.040000000000001,5.52,5.34,0.45999999999999996,0.445,False,6.34
Gemini 3.1 Pro,gemini,frontier,2,game_myth,3,3,Agent_1,Agent_2,5.0,4.53,15.0,13.59,6.8,6.02,0.4533333333333333,0.4013333333333333,False,6.02
Gemini 3.1 Pro,gemini,frontier,2,game_myth,3,4,Agent_2,Agent_1,4.5,3.68,13.5,11.040000000000001,5.52,5.42,0.40888888888888886,0.4014814814814815,False,5.92
Gemini 3.1 Pro,gemini,frontier,2,game_myth,3,5,Agent_1,Agent_2,5.0,4.38,15.0,13.14,6.57,5.61,0.438,0.374,False,5.61
Gemini 3.1 Pro,gemini,frontier,2,game_myth,3,6,Agent_2,Agent_1,4.5,4.43,13.5,13.29,6.645,6.02,0.49222222222222217,0.4459259259259259,False,6.52
Gemini 3.1 Pro,gemini,frontier,2,game_myth,3,7,Agent_1,Agent_2,4.5,4.03,13.5,12.09,6.05,5.56,0.44814814814814813,0.4118518518518518,False,6.06
Gemini 3.1 Pro,gemini,frontier,2,game_myth,3,8,Agent_2,Agent_1,4.5,4.17,13.5,12.51,6.255,5.32,0.4633333333333333,0.3940740740740741,False,5.82
Gemini 3.1 Pro,gemini,frontier,2,game_myth,3,9,Agent_1,Agent_2,4.5,4.17,13.5,12.51,6.26,6.25,0.4637037037037037,0.46296296296296297,False,6.75
Gemini 3.1 Pro,gemini,frontier,2,game_myth,3,10,Agent_2,Agent_1,4.5,4.14,13.5,12.419999999999998,6.21,5.71,0.46,0.422962962962963,False,6.21
Gemini 3.1 Pro,gemini,frontier,2,game_myth,4,1,Agent_1,Agent_2,5.0,4.42,15.0,13.26,6.63,5.81,0.442,0.3873333333333333,False,5.81
Gemini 3.1 Pro,gemini,frontier,2,game_myth,4,2,Agent_2,Agent_1,5.0,4.54,15.0,13.620000000000001,6.81,6.65,0.45399999999999996,0.44333333333333336,False,6.65
Gemini 3.1 Pro,gemini,frontier,2,game_myth,4,3,Agent_1,Agent_2,5.0,4.14,15.0,12.419999999999998,6.21,5.3,0.414,0.35333333333333333,False,5.3
Gemini 3.1 Pro,gemini,frontier,2,game_myth,4,4,Agent_2,Agent_1,5.0,4.76,15.0,14.28,7.14,6.9,0.476,0.46,False,6.9
Gemini 3.1 Pro,gemini,frontier,2,game_myth,4,5,Agent_1,Agent_2,5.0,4.45,15.0,13.350000000000001,6.675,6.63,0.445,0.442,False,6.63
Gemini 3.1 Pro,gemini,frontier,2,game_myth,4,6,Agent_2,Agent_1,5.0,4.99,15.0,14.97,7.48,6.62,0.4986666666666667,0.44133333333333336,False,6.62
Gemini 3.1 Pro,gemini,frontier,2,game_myth,4,7,Agent_1,Agent_2,5.0,4.59,15.0,13.77,6.885,6.87,0.45899999999999996,0.458,False,6.87
Gemini 3.1 Pro,gemini,frontier,2,game_myth,4,8,Agent_2,Agent_1,5.0,4.7,15.0,14.100000000000001,7.05,6.72,0.47,0.448,False,6.72
Gemini 3.1 Pro,gemini,frontier,2,game_myth,4,9,Agent_1,Agent_2,5.0,4.18,15.0,12.54,6.27,5.65,0.418,0.3766666666666667,False,5.65
Gemini 3.1 Pro,gemini,frontier,2,game_myth,4,10,Agent_2,Agent_1,5.0,4.31,15.0,12.93,6.465,6.16,0.431,0.4106666666666667,False,6.16
Opus 5,claude,frontier,2,game_myth,0,1,Agent_1,Agent_2,4.0,3.62,12.0,10.86,5.43,4.52,0.45249999999999996,0.37666666666666665,False,5.52
Opus 5,claude,frontier,2,game_myth,0,2,Agent_2,Agent_1,5.0,4.07,15.0,12.21,7.0,6.81,0.4666666666666667,0.45399999999999996,False,6.81
Opus 5,claude,frontier,2,game_myth,0,3,Agent_1,Agent_2,5.0,4.47,15.0,13.41,6.71,6.2,0.4473333333333333,0.41333333333333333,False,6.2
Opus 5,claude,frontier,2,game_myth,0,4,Agent_2,Agent_1,5.0,4.81,15.0,14.43,8.5,8.13,0.5666666666666667,0.542,False,8.13
Opus 5,claude,frontier,2,game_myth,0,5,Agent_1,Agent_2,5.0,4.61,15.0,13.830000000000002,8.3,8.0,0.5533333333333333,0.5333333333333333,False,8.0
Opus 5,claude,frontier,2,game_myth,0,6,Agent_2,Agent_1,5.0,4.88,15.0,14.64,9.0,8.88,0.6,0.5920000000000001,False,8.88
Opus 5,claude,frontier,2,game_myth,0,7,Agent_1,Agent_2,5.0,4.52,15.0,13.559999999999999,9.0,8.45,0.6,0.5633333333333332,False,8.45
Opus 5,claude,frontier,2,game_myth,0,8,Agent_2,Agent_1,5.0,4.26,15.0,12.78,8.5,8.4,0.5666666666666667,0.56,False,8.4
Opus 5,claude,frontier,2,game_myth,0,9,Agent_1,Agent_2,5.0,4.78,15.0,14.34,9.0,8.97,0.6,0.5980000000000001,False,8.97
Opus 5,claude,frontier,2,game_myth,0,10,Agent_2,Agent_1,5.0,4.53,15.0,13.59,9.5,9.3,0.6333333333333333,0.62,False,9.3
Opus 5,claude,frontier,2,game_myth,1,1,Agent_1,Agent_2,4.0,3.77,12.0,11.31,6.0,5.36,0.5,0.4466666666666667,False,6.36
Opus 5,claude,frontier,2,game_myth,1,2,Agent_2,Agent_1,5.0,4.49,15.0,13.47,8.0,7.4,0.5333333333333333,0.49333333333333335,False,7.4
Opus 5,claude,frontier,2,game_myth,1,3,Agent_1,Agent_2,5.0,4.49,15.0,13.47,7.6,7.3,0.5066666666666666,0.48666666666666664,False,7.3
Opus 5,claude,frontier,2,game_myth,1,4,Agent_2,Agent_1,5.0,4.04,15.0,12.120000000000001,7.5,7.34,0.5,0.48933333333333334,False,7.34
Opus 5,claude,frontier,2,game_myth,1,5,Agent_1,Agent_2,5.0,4.71,15.0,14.129999999999999,8.0,7.79,0.5333333333333333,0.5193333333333333,False,7.79
Opus 5,claude,frontier,2,game_myth,1,6,Agent_2,Agent_1,5.0,4.26,15.0,12.78,8.0,7.23,0.5333333333333333,0.48200000000000004,False,7.23
Opus 5,claude,frontier,2,game_myth,1,7,Agent_1,Agent_2,5.0,4.1,15.0,12.299999999999999,7.5,6.59,0.5,0.4393333333333333,False,6.59
Opus 5,claude,frontier,2,game_myth,1,8,Agent_2,Agent_1,5.0,4.68,15.0,14.04,9.0,8.31,0.6,0.554,False,8.31
Opus 5,claude,frontier,2,game_myth,1,9,Agent_1,Agent_2,5.0,4.59,15.0,13.77,8.5,7.84,0.5666666666666667,0.5226666666666666,False,7.84
Opus 5,claude,frontier,2,game_myth,1,10,Agent_2,Agent_1,5.0,4.06,15.0,12.18,8.0,7.94,0.5333333333333333,0.5293333333333333,False,7.94
Opus 5,claude,frontier,2,game_myth,2,1,Agent_1,Agent_2,4.0,3.88,12.0,11.64,6.0,5.23,0.5,0.43583333333333335,False,6.23
Opus 5,claude,frontier,2,game_myth,2,2,Agent_2,Agent_1,5.0,4.68,15.0,14.04,8.5,8.5,0.5666666666666667,0.5666666666666667,False,8.5
Opus 5,claude,frontier,2,game_myth,2,3,Agent_1,Agent_2,5.0,4.15,15.0,12.450000000000001,7.0,6.88,0.4666666666666667,0.45866666666666667,False,6.88
Opus 5,claude,frontier,2,game_myth,2,4,Agent_2,Agent_1,5.0,4.04,15.0,12.120000000000001,7.5,7.46,0.5,0.49733333333333335,False,7.46
Opus 5,claude,frontier,2,game_myth,2,5,Agent_1,Agent_2,5.0,4.12,15.0,12.36,7.5,7.4,0.5,0.49333333333333335,False,7.4
Opus 5,claude,frontier,2,game_myth,2,6,Agent_2,Agent_1,5.0,4.17,15.0,12.51,8.0,7.19,0.5333333333333333,0.47933333333333333,False,7.19
Opus 5,claude,frontier,2,game_myth,2,7,Agent_1,Agent_2,5.0,4.49,15.0,13.47,8.25,7.28,0.55,0.48533333333333334,False,7.28
Opus 5,claude,frontier,2,game_myth,2,8,Agent_2,Agent_1,5.0,4.49,15.0,13.47,9.0,8.31,0.6,0.554,False,8.31
Opus 5,claude,frontier,2,game_myth,2,9,Agent_1,Agent_2,5.0,4.37,15.0,13.11,8.2,8.02,0.5466666666666666,0.5346666666666666,False,8.02
Opus 5,claude,frontier,2,game_myth,2,10,Agent_2,Agent_1,5.0,4.42,15.0,13.26,9.0,8.48,0.6,0.5653333333333334,False,8.48
Opus 5,claude,frontier,2,game_myth,3,1,Agent_1,Agent_2,4.0,3.01,12.0,9.03,4.52,4.39,0.37666666666666665,0.3658333333333333,False,5.39
Opus 5,claude,frontier,2,game_myth,3,2,Agent_2,Agent_1,5.0,4.68,15.0,14.04,9.0,8.82,0.6,0.588,False,8.82
Opus 5,claude,frontier,2,game_myth,3,3,Agent_1,Agent_2,5.0,4.53,15.0,13.59,8.0,7.22,0.5333333333333333,0.48133333333333334,False,7.22
Opus 5,claude,frontier,2,game_myth,3,4,Agent_2,Agent_1,5.0,4.18,15.0,12.54,8.0,7.9,0.5333333333333333,0.5266666666666667,False,7.9
Opus 5,claude,frontier,2,game_myth,3,5,Agent_1,Agent_2,5.0,4.38,15.0,13.14,8.0,7.04,0.5333333333333333,0.4693333333333333,False,7.04
Opus 5,claude,frontier,2,game_myth,3,6,Agent_2,Agent_1,5.0,4.93,15.0,14.79,9.5,8.88,0.6333333333333333,0.5920000000000001,False,8.88
Opus 5,claude,frontier,2,game_myth,3,7,Agent_1,Agent_2,5.0,4.53,15.0,13.59,8.5,8.01,0.5666666666666667,0.534,False,8.01
Opus 5,claude,frontier,2,game_myth,3,8,Agent_2,Agent_1,5.0,4.67,15.0,14.01,9.0,8.06,0.6,0.5373333333333333,False,8.06
Opus 5,claude,frontier,2,game_myth,3,9,Agent_1,Agent_2,5.0,4.67,15.0,14.01,8.75,8.74,0.5833333333333334,0.5826666666666667,False,8.74
Opus 5,claude,frontier,2,game_myth,3,10,Agent_2,Agent_1,5.0,4.64,15.0,13.919999999999998,9.0,8.5,0.6,0.5666666666666667,False,8.5
Opus 5,claude,frontier,2,game_myth,4,1,Agent_1,Agent_2,4.0,3.42,12.0,10.26,5.13,4.31,0.4275,0.35916666666666663,False,5.31
Opus 5,claude,frontier,2,game_myth,4,2,Agent_2,Agent_1,3.5,3.04,10.5,9.120000000000001,5.5,5.34,0.5238095238095238,0.5085714285714286,False,6.84
Opus 5,claude,frontier,2,game_myth,4,3,Agent_1,Agent_2,5.0,4.14,15.0,12.419999999999998,7.2,6.29,0.48000000000000004,0.41933333333333334,False,6.29
Opus 5,claude,frontier,2,game_myth,4,4,Agent_2,Agent_1,4.0,3.76,12.0,11.28,7.3,7.06,0.6083333333333333,0.5883333333333333,False,8.059999999999999
Opus 5,claude,frontier,2,game_myth,4,5,Agent_1,Agent_2,5.0,4.45,15.0,13.350000000000001,8.9,8.86,0.5933333333333334,0.5906666666666667,False,8.86
Opus 5,claude,frontier,2,game_myth,4,6,Agent_2,Agent_1,5.0,4.99,15.0,14.97,9.5,8.64,0.6333333333333333,0.5760000000000001,False,8.64
Opus 5,claude,frontier,2,game_myth,4,7,Agent_1,Agent_2,5.0,4.59,15.0,13.77,9.2,9.19,0.6133333333333333,0.6126666666666666,False,9.19
Opus 5,claude,frontier,2,game_myth,4,8,Agent_2,Agent_1,5.0,4.7,15.0,14.100000000000001,9.0,8.67,0.6,0.578,False,8.67
Opus 5,claude,frontier,2,game_myth,4,9,Agent_1,Agent_2,5.0,4.18,15.0,12.54,8.4,7.78,0.56,0.5186666666666667,False,7.78
Opus 5,claude,frontier,2,game_myth,4,10,Agent_2,Agent_1,5.0,4.31,15.0,12.93,9.0,8.69,0.6,0.5793333333333333,False,8.69
Sol high,gpt,frontier,2,game_myth,0,1,Agent_1,Agent_2,2.5,2.12,7.5,6.36,2.12,1.21,0.2826666666666667,0.16133333333333333,True,3.71
Sol high,gpt,frontier,2,game_myth,0,2,Agent_2,Agent_1,3.0,2.07,9.0,6.209999999999999,1.64,1.45,0.1822222222222222,0.1611111111111111,True,3.45
Sol high,gpt,frontier,2,game_myth,0,3,Agent_1,Agent_2,2.5,1.97,7.5,5.91,1.97,1.46,0.26266666666666666,0.19466666666666665,True,3.96
Sol high,gpt,frontier,2,game_myth,0,4,Agent_2,Agent_1,2.0,1.81,6.0,5.43,1.12,0.75,0.18666666666666668,0.125,True,3.75
Sol high,gpt,frontier,2,game_myth,0,5,Agent_1,Agent_2,3.0,2.61,9.0,7.83,2.72,2.42,0.3022222222222222,0.2688888888888889,True,4.42
Sol high,gpt,frontier,2,game_myth,0,6,Agent_2,Agent_1,2.5,2.38,7.5,7.14,2.26,2.14,0.3013333333333333,0.2853333333333333,True,4.640000000000001
Sol high,gpt,frontier,2,game_myth,0,7,Agent_1,Agent_2,3.5,3.02,10.5,9.06,3.54,2.99,0.33714285714285713,0.28476190476190477,True,4.49
Sol high,gpt,frontier,2,game_myth,0,8,Agent_2,Agent_1,3.25,2.51,9.75,7.529999999999999,2.52,2.42,0.25846153846153846,0.2482051282051282,True,4.17
Sol high,gpt,frontier,2,game_myth,0,9,Agent_1,Agent_2,3.0,2.78,9.0,8.34,3.06,3.03,0.34,0.33666666666666667,False,5.029999999999999
