model,num_agents,population,condition,condition_label,treatment,treatment_label,replicate_id,round,receiver_scope,return_proportion,zero_receipt_rate,forced_receiver_rate,receiver_decisions,defined_return_decisions
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,1,8,all,0.32,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,1,9,all,0.4666666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,1,10,all,0.24000000000000002,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,2,1,all,0.5,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,2,2,all,0.5,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,2,3,all,0.3611111111111111,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,2,4,all,0.3611111111111111,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,2,5,all,0.35555555555555557,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,2,6,all,0.3888888888888889,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,2,7,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,2,8,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,2,9,all,0.39444444444444443,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,2,10,all,0.40555555555555556,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,3,1,all,0.2777777777777778,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,3,2,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,3,3,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,3,4,all,0.2916666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,3,5,all,0.27499999999999997,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,3,6,all,0.48333333333333334,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,3,7,all,0.26666666666666666,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,3,8,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,3,9,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,3,10,all,0.41,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,4,1,all,0.4,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,4,2,all,0.4,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,4,3,all,0.26666666666666666,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,4,4,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,4,5,all,0.2916666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,4,6,all,0.5,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,4,7,all,0.31666666666666665,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,4,8,all,0.47619047619047616,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,4,9,all,0.2333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,control,No forced defection,4,10,all,0.26666666666666666,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,0,1,all,0.3888888888888889,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,0,2,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,0,3,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,0,4,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,0,5,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,0,6,all,0.4666666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,0,7,all,0.4666666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,0,8,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,0,9,all,0.5,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,0,10,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,1,1,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,1,2,all,0.3888888888888889,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,1,3,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,1,4,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,1,5,all,0.0,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,1,6,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,1,7,all,0.0,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,1,8,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,1,9,all,0.0,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,1,10,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,2,1,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,2,2,all,0.3888888888888889,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,2,3,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,2,4,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,2,5,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,2,6,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,2,7,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,2,8,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,2,9,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,2,10,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,3,1,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,3,2,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,3,3,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,3,4,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,3,5,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,3,6,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,3,7,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,3,8,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,3,9,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,3,10,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,4,1,all,0.3611111111111111,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,4,2,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,4,3,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,4,4,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,4,5,all,0.3666666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,4,6,all,0.5555555555555556,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,4,7,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,4,8,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,4,9,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random25,25% random defection,4,10,all,0.0,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,0,1,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,0,2,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,0,3,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,0,4,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,0,5,all,0.39999999999999997,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,0,6,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,0,7,all,0.37999999999999995,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,0,8,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,0,9,all,0.445,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,0,10,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,1,1,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,1,2,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,1,3,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,1,4,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,1,5,all,0.0,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,1,6,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,1,7,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,1,8,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,1,9,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,1,10,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,2,1,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,2,2,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,2,3,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,2,4,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,2,5,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,2,6,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,2,7,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,2,8,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,2,9,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,2,10,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,3,1,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,3,2,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,3,3,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,3,4,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,3,5,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,3,6,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,3,7,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,3,8,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,3,9,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,3,10,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,4,1,all,0.3888888888888889,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,4,2,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,4,3,all,0.2916666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,4,4,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,4,5,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,4,6,all,0.0,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,4,7,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,4,8,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,4,9,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,4,10,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,0,1,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,0,2,all,0.38095238095238093,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,0,3,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,0,4,all,0.47619047619047616,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,0,5,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,0,6,all,0.47619047619047616,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,0,7,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,0,8,all,0.38095238095238093,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,0,9,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,0,10,all,0.42857142857142855,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,1,1,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,1,2,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,1,3,all,0.42857142857142855,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,1,4,all,0.3888888888888889,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,1,5,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,1,6,all,0.3888888888888889,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,1,7,all,0.35,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,1,8,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,1,9,all,0.43333333333333335,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,1,10,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,2,1,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,2,2,all,0.5,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,2,3,all,0.35714285714285715,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,2,4,all,0.4666666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,2,5,all,0.358974358974359,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,2,6,all,0.48888888888888893,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,2,7,all,0.40476190476190477,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,2,8,all,0.5777777777777778,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,2,9,all,0.38095238095238093,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,2,10,all,0.5666666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,3,1,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,3,2,all,0.48800000000000004,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,3,3,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,3,4,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,3,5,all,0.4166666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,3,6,all,0.5533333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,3,7,all,0.4222222222222222,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,3,8,all,0.49333333333333335,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,3,9,all,0.4722222222222222,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,3,10,all,0.4905660377358491,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,4,1,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,4,2,all,0.4,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,4,3,all,0.328,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,4,4,all,0.4533333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,4,5,all,0.39066666666666666,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,4,6,all,0.49333333333333335,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,4,7,all,0.4,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,4,8,all,0.4266666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,4,9,all,0.3333333333333333,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,control,No forced defection,4,10,all,0.3466666666666667,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,random25,25% random defection,0,1,all,0.4444444444444444,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,random25,25% random defection,0,2,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,random25,25% random defection,0,3,all,,1.0,1.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,random25,25% random defection,0,4,all,0.0,0.0,0.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,random25,25% random defection,0,5,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,random25,25% random defection,0,6,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,random25,25% random defection,0,7,all,,1.0,0.0,1,0
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,random25,25% random defection,0,8,all,0.0,0.0,1.0,1,1
Claude Sonnet 4.5,2,2-agent repeated dyad,game_myth,Game → Myth,random25,25% random defection,0,9,all,0.5,0.0,0.0,1,1
